number;type;tree;bush;diameter;height;description;action
1326;хвойный кустарник;;1;;;;Сохранить
1327;хвойный кустарник;;1;;;;Сохранить
1328;дек.-лиственный кустарник;;3;;;гортензия;Сохранить
1329;сирень куст;;1;;;;Сохранить
1330;хвойный кустарник;;1;;;;Сохранить
1331;Рябина;2;;6;;;Сохранить
1332;дек.-лиственный кустарник;;3;;;гортензия;Сохранить
1333;сирень куст;;1;;;;Сохранить
1334;хвойный кустарник;;1;;;;Сохранить
1335;дек.-лиственный кустарник;;2;;;гортензия;Сохранить
1336;сирень куст;;2;;;;Сохранить
1337;хвойный кустарник;;1;;;;Сохранить
1338;дек.-лиственный кустарник;;2;;;гортензия;Сохранить
1339;барбарис куст;;4;;;;Сохранить
1340;Сосна;1;;44;;ствол наклонен;Сохранить
1341;Каштан;1;;6;;;Сохранить
1342;Клен остролистный;1;;12;;;Сохранить
1343;Липа;1;;40;;;Вырубить
1344;Клен остролистный;1;;10;;;Сохранить
1345;Клен остролистный;1;;12;;;Сохранить
1346;Клен остролистный;1;;16;;ствол наклонен;Сохранить
1347;Клен остролистный;1;;12;;ствол наклонен;Сохранить
1348;Клен остролистный;1;;10;;;Сохранить
1349;Ель;1;;46;;;Сохранить
1350;Ель;1;;20;;;Сохранить
1351;Сосна;1;;74;;;Сохранить
1352;Липа;1;;30,30;;2 ствола;Сохранить
1353;Ель;1;;22;;;Вырубить
1354;Ель;1;;74;;;Вырубить
1355;Ель;1;;16;;;Сохранить
1356;Липа;1;;38;;;Сохранить
1357;Сосна;1;;56;;;Сохранить
1358;Ель;1;;20;;;Сохранить
1359;Липа;1;;20;;;Сохранить
1360;Ель;1;;48;;;Сохранить
1361;Ель;1;;16;;;Сохранить
1362;Липа;1;;20;;;Вырубить
1363;Ель;1;;42;;;Сохранить
1364;Ель;1;;28;;;Сохранить
1365;Сосна;1;;76;;ствол наклонен;Сохранить
1366;Ель;1;;38;;;Сохранить
1367;Ель;1;;58;;;Сохранить
1368;Сосна;1;;60;;;Сохранить
1369;Ель;1;;12;;;Сохранить
1370;Липа;1;;20;;;Сохранить
1371;Сосна;1;;56;;;Сохранить
1372;Ель;1;;12;;;Вырубить
1373;Ель;1;;64;;сухобочина;Сохранить
1374;лещина куст;;1;;;;Сохранить
1375;Ель;2;;50-52;;;Сохранить
1376;Ель;1;;70;;;Сохранить
1381;Липа;1;;46;;искривл.;Вырубить
1382;Ель;1;;46;;;Вырубить
1383;Сосна;1;;44;;;Вырубить
1385;Липа;1;;38;;сухие ветви;Сохранить
1390;Сосна;1;;60;;ствол наклонен;Вырубить
1391;Сосна;1;;44;;;Вырубить
1396;Сосна;1;;64;;ствол наклонен, многочисл.сухие ветви;Вырубить
1397;Сосна;1;;16;;усых., без коры;Сохранить
1407;Ель;1;;24;;;Вырубить
1408;Ель;1;;28;;водоохр.зона;Сохранить
1409;Сосна;1;;46;;водоохр.зона, многочисл.сухие ветви;Вырубить
1410;Липа;1;;16;;водоохр.зона;Сохранить
1411;Ель;1;;10;;водоохр.зона;Вырубить
1412;Сосна;1;;60;;водоохр.зона, многочисл.сухие ветви;Вырубить
1413;самосев лиственных пород;;;1;;водоохр.зона;Вырубить
1414;Ель;1;;14;;водоохр.зона, сухобочина;Вырубить
1415;Сосна;1;;56;;водоохр.зона;Сохранить
1418;лещина куст;;4;;;водоохр.зона;Вырубить
1458;Сосна;1;;64;;ствол наклонен;Вырубить
1459;Липа;1;;30;;;Сохранить
1460;Липа;1;;24;;морозобоина;Сохранить
1461;Сосна;1;;46;;;Сохранить
1462;Сосна;1;;76;;;Сохранить
1463;Сосна;1;;56;;;Сохранить
1464;Сосна;1;;48;;сухие ветви;Сохранить
1465;Сосна;1;;50;;;Вырубить
1466;Ель;1;;30;;;Вырубить
1467;Дуб;1;;36;;;Вырубить
1468;Ель;1;;10;;;Вырубить
1469;Сосна;1;;88;;;Вырубить
1475;Сосна;1;;46;;;Вырубить
1476;самосев лиственных пород;;;1;;;Вырубить
1491;Вяз;1;;14;;;Вырубить
1492;Сосна;1;;72;;с развилкой;Вырубить
1494;Береза;1;;26;;сухобочина;Вырубить
1495;Сосна;1;;38;;;Вырубить
1496;Сосна;1;;44;;ствол изогнут;Вырубить
1498;Сосна;1;;44;;;Вырубить
1499;лещина куст;;1;;;;Вырубить
1500;лещина куст;;1;;;;Вырубить
1501;Береза;1;;34;;;Вырубить
1502;Ель;1;;6;;;Вырубить
1503;Ель;1;;6;;;Сохранить
1504;лещина куст;;1;;;;Сохранить
1505;самосев лиственных пород;;;1-2;;;Вырубить
1506;Ель;1;;6;;;Сохранить
1507;самосев лиственных пород;;;1;;;Сохранить
1508;Ель;1;;6;;;Сохранить
1509;Береза;1;;42;;ствол наклонен;Сохранить
1510;Сосна;1;;66;;сухобочина;Сохранить
1511;Дуб;1;;26;;ствол наклонен;Сохранить
1512;Сосна;1;;44;;;Сохранить
1513;Ель;1;;46;;;Сохранить
1514;Сосна;1;;60;;;Вырубить
1515;Ель;1;;30;;;Сохранить
1516;Ель;1;;50;;;Сохранить
1517;Сосна;1;;68;;;Сохранить
1518;Ель;1;;12;;;Вырубить
1519;Липа;1;;36,36;;2 ствола;Сохранить
1520;Ель;1;;6;;;Сохранить
1521;Ель;1;;6;;;Сохранить
1522;Ель;1;;6;;;Сохранить
1523;Ель;1;;6;;;Вырубить
1524;Ель;1;;48;;;Сохранить
1525;Ель;1;;56;;;Сохранить
1526;Клен остролистный;1;;8;;;Сохранить
1527;Береза;1;;16;;;Сохранить
1528;Клен остролистный;1;;8;;;Сохранить
1529;Ель;1;;52;;;Сохранить
1530;Ель;1;;64;;;Сохранить
1531;Сосна;1;;46;;;Сохранить
1532;Ель;1;;46;;;Сохранить
1533;Сосна;1;;74;;сухие ветви;Сохранить
1534;Сосна;1;;36;;;Сохранить
1535;Сосна;1;;48;;ствол искривлен, сухие ветви;Сохранить
1536;Сосна;1;;58;;;Сохранить
1537;Сосна;1;;54;;ствол наклонен;Сохранить
1538;лещина куст;;1;;;;Сохранить
1539;Ель;1;;6;;;Сохранить
1540;лещина куст;;1;;;;Сохранить
1541;Сосна;1;;66;;сухие ветви;Сохранить
1542;Ель;1;;56;;;Сохранить
1543;Сосна;1;;40;;сухостой;Сохранить
1544;Ель;1;;12;;;Сохранить
1545;Ель;1;;12;;вершина сломана;Сохранить
1546;Ель;1;;14;;;Сохранить
1547;Ель;1;;12;;;Вырубить
1548;лещина куст;;1;;;;Сохранить
1549;Сосна;1;;56;;;Сохранить
1550;Сосна;1;;48;;;Сохранить
1551;Ель;1;;34;;;Сохранить
1552;Ель;1;;16;;;Сохранить
1553;Ель;1;;10;;;Сохранить
1554;Ель;1;;10;;;Сохранить
1555;Береза;1;;32;;;Сохранить
1556;Ель;1;;10;;;Сохранить
1557;Ель;1;;10;;;Сохранить
1558;Ель;1;;14;;;Сохранить
1559;Ель;1;;12;;;Сохранить
