number;type;tree;bush;diameter;height;description;action
3201;Ольха;1;;8;;;Сохранить
3202;Ель;1;;18;;;Сохранить
3203;Ель;1;;30;;;Сохранить
3204;Ель;1;;32;;;Сохранить
3205;Ель;1;;16;;;Сохранить
3206;Береза;1;;18;;;Сохранить
3207;Ель;1;;30;;сухостой;Сохранить
3208;Сосна;1;;48;;;Сохранить
3209;Ель;1;;26;;сухостой;Сохранить
3210;Сосна;6;;6;;;Сохранить
3211;Ель;1;;10;;;Сохранить
3212;Ель;1;;34;;сухостой;Сохранить
3213;Береза;1;;34;;;Вырубить
3213;Ель;1;;22;;усыхающее;Вырубить
3214;Сосна;3;;6;;;Сохранить
3215;Ель;1;;30;;морозоб.;Сохранить
3215;самосев лиственных пород;;;1;;;Сохранить
3216;Липа;1;;10;;;Сохранить
3217;Ель;1;;28;;однобок.крона, сух.вет.;Сохранить
3218;Ель;1;;62;;сухостой;Сохранить
3219;Ель;1;;32;;сухостой;Сохранить
3220;Ель;1;;46;;сухостой;Сохранить
3221;Береза;1;;34;;;Сохранить
3222;Сосна;1;;34;;;Сохранить
3223;Липа;2;;32-34;;вытянут.крона;Сохранить
3224;Ель;2;;16;;;Сохранить
3225;Липа;1;;24;;;Сохранить
3226;Ель;1;;10;;деформ.ств., морозоб.;Сохранить
3227;Ель;1;;31;;;Сохранить
3228;Береза;1;;54;;сух.вет.;Сохранить
3229;Липа;1;;56;;развилка на 1,6;Сохранить
3230;Ель;1;;22;;;Сохранить
3231;Сосна;1;;62;;;Сохранить
3232;Береза;1;;54;;сух.вет.;Сохранить
3233;Береза;1;;46;;водоохр.зона, сух.вет.;Сохранить
3234;Береза;1;;54;;водоохр.зона, сух.вет.;Сохранить
3235;Ель;1;;18;;водоохр.зона;Сохранить
3236;Ель;1;;52;;водоохр.зона;Сохранить
3237;Ель;1;;20;;;Сохранить
3238;Ель;1;;16;;;Сохранить
3238;самосев лиственных пород;;;1;;;Сохранить
3239;Ель;1;;36;;;Сохранить
3240;Ель;1;;24;;;Сохранить
3241;Ель;1;;34;;;Сохранить
3242;Ель;1;;30;;;Сохранить
3243;Ель;1;;32;;;Сохранить
3244;Ель;2;;6;;;Сохранить
3245;Береза;1;;40;;сух.вет.;Сохранить
3246;Ель;1;;38;;сухостой;Сохранить
3247;Береза;1;;24;;наклон;Сохранить
3248;Ель;1;;40;;сухостой;Сохранить
3249;Ель;1;;38;;сухостой;Сохранить
3250;Ель;1;;28;;;Сохранить
3251;Береза;1;;24;;наклон.;Сохранить
3252;Липа;2;;18-24;;1 искривл.;Сохранить
3253;Липа;1;;18;;вытянут.;Сохранить
3254;Ель;2;;6;;;Сохранить
3255;Ель;1;;58;;;Сохранить
3256;Ель;1;;15;;круп.сухобоч.;Сохранить
3257;Ель;1;;46;;водоохр.зона;Сохранить
3258;Ель;1;;17;;водоохр.зона;Сохранить
3259;Ель;1;;14;;водоохр.зона;Сохранить
3260;Ель;2;;6-8;;;Сохранить
3261;Сосна;1;;46;;водоохр.зона;Сохранить
3262;Береза;1;;48;;водоохр.зона, искривл.у основ.;Сохранить
3263;Ель;1;;46;;водоохр.зона;Сохранить
3264;Липа;1;;40;;водоохр.зона, с развилкой, сух.вет.;Сохранить
3265;Сосна;1;;52;;водоохр.зона;Сохранить
3266;Ель;1;;32;;водоохр.зона;Вырубить
3267;Сосна;1;;52;;водоохр.зона;Сохранить
3268;Ель;1;;20;;водоохр.зона;Вырубить
3269;Ель;1;;48;;водоохр.зона;Сохранить
3270;Береза;1;;32;;сух.вет.;Сохранить
3271;Ель;1;;10;;водоохр.зона;Сохранить
3272;Ель;1;;52;;;Сохранить
3273;Ель;1;;28;;;Сохранить
3274;Ель;1;;24;;;Сохранить
3275;Ель;1;;18;;сухостой;Сохранить
3276;Ель;1;;18;;;Сохранить
3277;Ель;1;;18;;;Сохранить
3278;Сосна;1;;58;;искрив.верш.;Сохранить
3279;Ель;2;;16-18;;;Сохранить
3280;Сосна;1;;32;;;Сохранить
3281;Ель;1;;14;;;Сохранить
3282;Ель;1;;54;;;Сохранить
3283;Ель;1;;26;;;Сохранить
3284;Ель;1;;28;;;Сохранить
3285;Ель;1;;16;;однобок.крона;Сохранить
3286;Ель;1;;34;;;Сохранить
3287;Ель;1;;30;;;Сохранить
3288;Ель;1;;30;;;Сохранить
3289;Ель;1;;30;;;Сохранить
3290;Сосна;1;;44;;;Сохранить
3291;Липа;1;;10;;облом.верш.;Сохранить
3292;Сосна;1;;36;;сух.вет.;Сохранить
3293;Сосна;1;;46;;;Сохранить
3294;Сосна;1;;42;;;Вырубить
3295;Сосна;1;;40;;сух.вет.;Вырубить
3296;Сосна;1;;42;;;Сохранить
3297;Ель;1;;52;;;Сохранить
3298;Сосна;1;;32;;многочисл.сух.вет.;Сохранить
3299;Сосна;1;;30;;сух.вет.;Вырубить
3300;Сосна;1;;34;;;Вырубить
3301;Клен остролистный;1;;8;;водоохр.зона;Сохранить
3302;Липа;1;;8;;водоохр.зона;Вырубить
3303;Сосна;1;;56;;водоохр.зона;Вырубить
3304;Липа;1;;6;;водоохр.зона;Вырубить
3305;Сосна;1;;50;;водоохр.зона;Вырубить
3306;Липа;1;;11;;водоохр.зона;Сохранить
3307;Сосна;1;;46;;водоохр.зона;Сохранить
3308;Ель;1;;16;;водоохр.зона, аварийный наклон;Сохранить
3309;Ель;1;;15;;водоохр.зона, морозоб.трещина;Вырубить
3310;Сосна;1;;36;;водоохр.зона;Сохранить
3311;Липа;2;;8-12;;;Сохранить
3312;Сосна;1;;38;;;Вырубить
3313;Сосна;1;;36;;;Вырубить
3314;Ель;1;;14;;;Вырубить
3315;Боярышник;2;;6;;водоохр.зона, 1 с поврежд.коры;Сохранить
3315;лещина куст;;1;;;водоохр.зона;Сохранить
3316;Сосна;1;;44;;водоохр.зона, длинная сухобочина;Сохранить
3316;Тополь бальзамический;1;;8;;водоохр.зона;Сохранить
3316;Рябина;1;;6;;водоохр.зона;Сохранить
3317;Липа;1;;8,8,10;;водоохр.зона, трехствол.;Сохранить
3318;Сосна;1;;42;;водоохр.зона;Сохранить
3319;Сосна;1;;42;;водоохр.зона;Сохранить
3320;Ель;1;;20;;водоохр.зона;Сохранить
3321;лещина куст;;10;;;водоохр.зона;Сохранить
3322;Ель;1;;36;;;Вырубить
3323;Ель;1;;38;;;Вырубить
3324;Сосна;1;;42;;;Вырубить
3325;Сосна;1;;40;;;Сохранить
3326;Сосна;1;;44;;;Сохранить
3327;Ель;1;;34;;;Вырубить
3328;Сосна;1;;46;;;Сохранить
3329;Береза;1;;30;;облом.вет.;Сохранить
